# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033466327469349e+08,1.743751542236628316e+00,1.710518325007506064e+02,3.889360932107897018e+00
3.376033466451606154e+08,2.555644590002400296e+00,1.710721743491741051e+02,3.861379763575532920e+00
3.376033467448565364e+08,2.190315373605582039e+00,1.708899120413947799e+02,3.854895917342985534e+00
3.376033467728605270e+08,1.952718409044107872e+00,1.708612890230047299e+02,3.850247176327967757e+00
3.376033468031002283e+08,3.148209355848912594e+00,1.710256662223799538e+02,3.893311327879981576e+00
3.376033469920030236e+08,2.251862110617454338e+00,1.709342732375418450e+02,3.943520081780897968e+00
3.376033474044057131e+08,1.796154919692315444e+00,1.710831754130128957e+02,3.855570003031274950e+00
3.376033474220564961e+08,2.067882790467619358e+00,1.710190326311029025e+02,3.840081283868194362e+00
3.376033474849119782e+08,2.938797996326331319e+00,1.708623094742475246e+02,3.908874267671933467e+00
3.376033475136392713e+08,2.397583357220847144e+00,1.709926704886469508e+02,3.880441655328888739e+00
3.376033475239549875e+08,1.901762817072819800e+00,1.710616572460139366e+02,3.874537148429387567e+00
3.376033476188974380e+08,1.860243758897027533e+00,1.708788114054109997e+02,3.908357239603625910e+00
3.376033476348417401e+08,2.047068683554600810e+00,1.709538143092298128e+02,3.828020655078198331e+00
3.376033476364490986e+08,1.787256613240515213e+00,1.708809202887077561e+02,3.804674396126292546e+00
3.376033477148398757e+08,1.783835200819859690e+00,1.708445202300357835e+02,3.917049607621691631e+00
3.376033477318301201e+08,2.033316638221118300e+00,1.709774368635333701e+02,3.806234493130444374e+00
3.376033479089459181e+08,2.063929711941204115e+00,1.709468649015963422e+02,3.831420988792859195e+00
3.376033480136156082e+08,8.388828039866805852e+01,1.710473450639153725e+02,3.912373004256229692e+00
3.376033480276561379e+08,2.164472554057335962e+00,1.710031507638327355e+02,3.847167068731080164e+00
3.376033480519299507e+08,5.662635113944206466e+01,1.709745030503580665e+02,3.910658579108608812e+00
3.376033480731175542e+08,1.694201766270191811e+00,1.709847957366305877e+02,3.890822430814329103e+00
3.376033481542283893e+08,2.055358379223044540e+00,1.710364864102706690e+02,3.865117311616156126e+00
3.376033484528915882e+08,1.610257241835375330e+00,1.709465077970452000e+02,3.922333721859362132e+00
3.376033485821982622e+08,2.214898026010478915e+00,1.709979048195831410e+02,3.965176616562636092e+00
3.376033486597682238e+08,2.210275349726136263e+00,1.709054054260687110e+02,3.984140455734986208e+00
3.376033486630273461e+08,1.782282819800087292e+00,1.709920482732768221e+02,3.915497522743890624e+00
3.376033487981842160e+08,1.214714575685224105e+02,1.709529139791375769e+02,3.968625636728116746e+00
3.376033488157896399e+08,7.555604786839376175e+01,1.710626000181744644e+02,3.880777350692275363e+00
3.376033489734750986e+08,2.102563605301024818e+00,1.709288316554844016e+02,3.949805570752310757e+00
3.376033491595800519e+08,2.375338748208182249e+00,1.708930193095147274e+02,3.882936299904097943e+00
3.376033491612563729e+08,1.929045644987945396e+00,1.708208246270743302e+02,3.896794550191022388e+00
3.376033492494313121e+08,9.202279731357417347e+01,1.709533634540974845e+02,3.833874520468016023e+00
3.376033493762221932e+08,2.007323962786212501e+00,1.709517651136866618e+02,3.833118440100445667e+00
3.376033493823862672e+08,3.563531787866741407e+00,1.709912384556711800e+02,3.836453657918374116e+00
3.376033494503858089e+08,3.188017044017209756e+00,1.709124191497889171e+02,3.981432591561394396e+00
3.376033494812715054e+08,2.042859988126650705e+00,1.708777040244709724e+02,3.850326720763824984e+00
3.376033495261531472e+08,2.381379084977079064e+00,1.709367923989313454e+02,3.957046707259579854e+00
3.376033497454426885e+08,2.034718430701719871e+00,1.708805167967466616e+02,3.781460461251872296e+00
3.376033497644920945e+08,2.697917830249997095e+00,1.709067850436770186e+02,3.830549841786988541e+00
3.376033499129101634e+08,3.676611927022042980e+00,1.709851641660937105e+02,3.930583311788152123e+00
3.376033500587887764e+08,1.916681168667804469e+00,1.709581965519970197e+02,3.957045521961024104e+00
3.376033503672167659e+08,2.016781137695398129e+00,1.709237580899139175e+02,4.005114661222931360e+00
3.376033506020949483e+08,2.373943989736433835e+00,1.710087403731764937e+02,3.956459279008518237e+00
3.376033506344274282e+08,2.998493952399304607e+00,1.709946978646062803e+02,4.009721472729782299e+00
3.376033507654479146e+08,1.694813027445013720e+00,1.708816923355314543e+02,3.908101317265853414e+00
3.376033511100913286e+08,1.854852372561103913e+00,1.709045350245270356e+02,3.779996596586175706e+00
3.376033512045341730e+08,2.446428235928015837e+00,1.709078973827403161e+02,3.826800065925733296e+00
3.376033515649626255e+08,2.261833145001730383e+00,1.710138674122404439e+02,3.949169910708126618e+00
3.376033516260924935e+08,1.666684309254043317e+00,1.709665392278651268e+02,3.788671845687536344e+00
3.376033516303669810e+08,2.262828885931353007e+00,1.708797411600940848e+02,3.801165585997528407e+00
3.376033517859598398e+08,2.793308398790068647e+00,1.709328116115246132e+02,3.999023845621501483e+00
3.376033518990058303e+08,2.055470206720687809e+00,1.709738584555902889e+02,3.805609623695347388e+00
3.376033519676887393e+08,1.646847570689112583e+00,1.709741833198022505e+02,3.849178730967192319e+00
3.376033522422081232e+08,2.139780458817615916e+00,1.710039945463119011e+02,3.809914069882689436e+00
3.376033523532974124e+08,3.044750350359408220e+00,1.709203927282073892e+02,3.914713274402355392e+00
3.376033525211200118e+08,2.334106000890153521e+00,1.709677114709166403e+02,4.018491227895568230e+00
3.376033525341652036e+08,8.231330381935805462e+01,1.709680972344129373e+02,4.026291347205505744e+00
3.376033525392747521e+08,2.407383485910844723e+00,1.708386257389366847e+02,3.950451744729179815e+00
3.376033525583877563e+08,1.867587582557138415e+00,1.709213496023228629e+02,3.805566505837391311e+00
3.376033525655301213e+08,2.397057318745642540e+00,1.709868025956520796e+02,3.898609911206691425e+00
3.376033531287007332e+08,3.098577741995808488e+00,1.709575837421666904e+02,3.948313684408625068e+00
3.376033531717799306e+08,1.896218376281801010e+00,1.708831201031053126e+02,3.943067544611463582e+00
3.376033533718829155e+08,2.175922006562015731e+00,1.709321464429909554e+02,3.896811561071287677e+00
3.376033534459544420e+08,2.154731519012005325e+00,1.709533137232278079e+02,3.787037810447829500e+00
3.376033537799172401e+08,2.740900862820237371e+00,1.709122412571294660e+02,3.998129603065547322e+00
3.376033538240758181e+08,2.187589322850528539e+00,1.710573525330669895e+02,3.900046593690678076e+00
3.376033538401272297e+08,2.206984988243534396e+00,1.708603640390061571e+02,3.855547318380536659e+00
3.376033539190850854e+08,2.019214959541338228e+00,1.708640649935166209e+02,3.967835541521676390e+00
3.376033540439173579e+08,1.900799741581244096e+00,1.710590058609249411e+02,3.865259653312362431e+00
3.376033540714694262e+08,7.483255657286171925e+01,1.710369659423805047e+02,3.933470020858695460e+00
3.376033543648311496e+08,2.896051501418382301e+00,1.709012259854822275e+02,3.843519269956940043e+00
3.376033543949088454e+08,3.222110380949257724e+00,1.710109901459246942e+02,3.976827545517908291e+00
3.376033548381935358e+08,1.713748072557076840e+00,1.708293695468675537e+02,3.906201743729068365e+00
3.376033548778557777e+08,1.911910493140359435e+00,1.708533426414134624e+02,3.937653101373620679e+00
3.376033549498874545e+08,1.247566533410753564e+01,1.708805345139091116e+02,3.866766492319352988e+00
3.376033550011608005e+08,2.818579492961583721e+00,1.709338626114869726e+02,3.964666147749909442e+00
3.376033551013503671e+08,2.238390357982130929e+00,1.709612893570177619e+02,3.911346704030219001e+00
3.376033552395141721e+08,2.417723362336557713e+00,1.708909542549538116e+02,3.924837755074829904e+00
3.376033556985651255e+08,2.038716593448969938e+00,1.708890427235222376e+02,3.819560160772498048e+00
3.376033559142610431e+08,5.015776877665365951e+00,1.709122111470015000e+02,3.806749869370978701e+00
3.376033561381916404e+08,1.982182750008358862e+00,1.708784718717866724e+02,3.823644407348572916e+00
3.376033562684156895e+08,1.853217204543454066e+00,1.709948168115380440e+02,4.004740217082446208e+00
3.376033565671172738e+08,1.755255094044828823e+00,1.708937928780612765e+02,3.943006471960854853e+00
3.376033568230224848e+08,1.300823836040521542e+02,1.708755106367709402e+02,3.902442633292046992e+00
3.376033568300647140e+08,1.856933179400118927e+00,1.710094281002592140e+02,3.961628391302668195e+00
3.376033570133619905e+08,1.242716041509181046e+01,1.709740398658799734e+02,3.952579164835574588e+00
3.376033570150002837e+08,9.234251980982291386e+00,1.709117209590007462e+02,3.935805545923916959e+00
3.376033571157176495e+08,2.395938176904198080e+00,1.710130381678764024e+02,3.867386392920593607e+00
3.376033571695182920e+08,3.061287103756520800e+00,1.710771217935921982e+02,3.847730408290825910e+00
3.376033571763891578e+08,1.777662993732620933e+00,1.710378505985511595e+02,3.853138003071601592e+00
3.376033571879833341e+08,1.916888004206183549e+00,1.709432588204657577e+02,3.862168310061580012e+00
3.376033575359198451e+08,2.316875517308723431e+00,1.709155429883092552e+02,3.885228923171173410e+00
3.376033578571408391e+08,1.898621329945939351e+00,1.710292279914629319e+02,3.948226858933499894e+00
3.376033578901776075e+08,1.691897556230940181e+00,1.709844435659081796e+02,4.020605385813335708e+00
3.376033579661614895e+08,2.068441656222177016e+00,1.710194049429635754e+02,3.887409602552907018e+00
3.376033580000567436e+08,2.320334613045571537e+00,1.708401227806723170e+02,3.891993860293376795e+00
3.376033581054285169e+08,1.844204871316775574e+00,1.708914302437730726e+02,3.811287486292399773e+00
3.376033581372572184e+08,2.274073363526896596e+00,1.709732723393609888e+02,3.937934772316320498e+00
3.376033581902573705e+08,1.918221479721713862e+00,1.709375820908996957e+02,3.779184394385615153e+00
3.376033582805142403e+08,1.769652055206634822e+00,1.709616567071792304e+02,3.951421633692088431e+00
3.376033583819558024e+08,1.650798783226625988e+00,1.708739464907667127e+02,3.869054141900048815e+00
3.376033584107906222e+08,1.963915831773167975e+00,1.709070656788064184e+02,3.893076426298194281e+00
3.376033588373280168e+08,2.253246926012854701e+00,1.710343321725885346e+02,3.845788206940218057e+00
3.376033588845803738e+08,1.856906019145524223e+00,1.709271815589203811e+02,3.942963823422720004e+00
3.376033589263717532e+08,1.918462704786831452e+00,1.708834187642302993e+02,3.938957510435436404e+00
3.376033590298512578e+08,1.937532634967399803e+00,1.708500243210202996e+02,3.964347039732655897e+00
3.376033591059985161e+08,2.387060744970598059e+00,1.709734705615665291e+02,3.814882042715355581e+00
3.376033592726113796e+08,2.070189743117901493e+00,1.708815308879388226e+02,3.959204994445578496e+00
3.376033594958589673e+08,3.151875274758596746e+00,1.708056971712040593e+02,3.922425886664616446e+00
3.376033594958673120e+08,2.505477389071393723e+00,1.708940070771938906e+02,3.810422395076141999e+00
3.376033599731510878e+08,2.841766607153532576e+00,1.710209167901415697e+02,3.852004861491641119e+00
3.376033599762068391e+08,2.604590949841435332e+01,1.709254776195346892e+02,3.888129085034152777e+00
3.376033601991217732e+08,1.987996394217140805e+00,1.708328620245037541e+02,3.894935129948137398e+00
3.376033602627844810e+08,2.367011332529702194e+00,1.709693363898530833e+02,3.943658909155940862e+00
3.376033605567902327e+08,1.679582164966253677e+00,1.709506471253715461e+02,3.787760204709974765e+00
3.376033606946619749e+08,2.102100167540820408e+00,1.709501342547781064e+02,3.909694983034222027e+00
3.376033608529512882e+08,2.383626200690076580e+00,1.710703373765099968e+02,3.877690191845228007e+00
3.376033609250112772e+08,2.453220401985973353e+00,1.709463130428886757e+02,3.983944051806700859e+00
3.376033609398725629e+08,1.843607232197484569e+00,1.709778782842756470e+02,3.987071972482555182e+00
3.376033610115744472e+08,2.035908197725063484e+00,1.709528276989695144e+02,3.911524648132631565e+00
3.376033611309884787e+08,1.905689086643379992e+00,1.708981166739462481e+02,3.786798515314134139e+00
3.376033611884593964e+08,1.831731455263726716e+00,1.710356901306965653e+02,3.936531141470913653e+00
3.376033612332692146e+08,1.620576105353775276e+00,1.708957372628001963e+02,3.985202730262961790e+00
3.376033614103224874e+08,1.828657319365843748e+00,1.709065172516640700e+02,3.969122874455594641e+00
3.376033616447328329e+08,2.375027419785282312e+00,1.708290826975406844e+02,3.948391556392549351e+00
3.376033616925240755e+08,1.622598404478754697e+00,1.708606903321319805e+02,3.953817386510907639e+00
3.376033617095663548e+08,1.621621391600940099e+00,1.710055130799713083e+02,3.834072531813405238e+00
3.376033617564247847e+08,1.415940224863809362e+02,1.709442435689711601e+02,3.905432958447860425e+00
3.376033618483188152e+08,1.748542379172538963e+00,1.709728746640379882e+02,3.899740189962381809e+00
3.376033618661521077e+08,1.664795277709537169e+00,1.709058771942720796e+02,3.860097588735331708e+00
3.376033619219133854e+08,9.311526180426062282e+00,1.709202704493926888e+02,3.853722507277258735e+00
3.376033621066910028e+08,1.798292759514455552e+00,1.708864665550367476e+02,3.877191284082274869e+00
3.376033621626352072e+08,1.609283026347189560e+00,1.710297493665078434e+02,3.833351843711823914e+00
3.376033622574763894e+08,2.118767917828853875e+00,1.710093527901610742e+02,3.813764517363635420e+00
3.376033625183752775e+08,2.227335182789744294e+00,1.710251845343249215e+02,3.899542857433703436e+00
3.376033628982098103e+08,1.902162314619194827e+00,1.709593409937499189e+02,3.902225032664179416e+00
3.376033630647636056e+08,1.835167261347721013e+00,1.710027856435813192e+02,3.908761025758802798e+00
3.376033633001521826e+08,2.358306019561611677e+00,1.708823509629317527e+02,3.790542212162302249e+00
3.376033635469705462e+08,2.420038787528105750e+00,1.708659738868277316e+02,3.817096103293626363e+00
3.376033637301991582e+08,2.290605145919611285e+00,1.709370015132545291e+02,3.932090235559978275e+00
3.376033638689051270e+08,2.124114317078364955e+00,1.709631593870470851e+02,4.025556517220713282e+00
3.376033640233401656e+08,1.445602019511731555e+02,1.708904850398878636e+02,3.932304797907275606e+00
3.376033640997407436e+08,2.385979637586943092e+00,1.708918120318406295e+02,3.882820565593580131e+00
3.376033643062699437e+08,1.872493907654125822e+00,1.709677410362887144e+02,3.799314816306301523e+00
3.376033643170048594e+08,2.069569909822569276e+00,1.708498514518443585e+02,3.835034527388537562e+00
3.376033643228261471e+08,1.793673942034245350e+00,1.708637168696558319e+02,3.816649718635055866e+00
3.376033645128891468e+08,3.165539748735892722e+00,1.709949960547484693e+02,3.926043530059683651e+00
3.376033646248087883e+08,2.908604982863133515e+01,1.710494136049264569e+02,3.894068299885184992e+00
3.376033647256596088e+08,2.061508797770283508e+00,1.708636085876341895e+02,3.873689511473457525e+00
3.376033647762805820e+08,1.692101436123755187e+00,1.710342832262979584e+02,3.915010387737033248e+00
3.376033648671280742e+08,1.789060287295668461e+00,1.708404249247456903e+02,3.873817394416060989e+00
3.376033648769600987e+08,2.080468343412726018e+00,1.708471650848362628e+02,3.951474646593886142e+00
3.376033650180625319e+08,1.866661709094000754e+00,1.708658608168439912e+02,3.931931077373452155e+00
3.376033651755901575e+08,1.942969778546832726e+00,1.708819075680362971e+02,3.964592944153112253e+00
3.376033652838004827e+08,6.404170913022826817e+00,1.710809274129596531e+02,3.852987379003107282e+00
3.376033653678511977e+08,1.105796907107540790e+02,1.709154387417368923e+02,3.895823999546519367e+00
3.376033653941538334e+08,2.696441992983081626e+00,1.708713002680866850e+02,3.930320031943114856e+00
3.376033658245741725e+08,2.869691591896173843e+00,1.709826960225425125e+02,4.023633659744437097e+00
3.376033658482429981e+08,1.832533233561144392e+00,1.709968687674283956e+02,3.825495096412268925e+00
3.376033658903709054e+08,2.050766420177497995e+00,1.708011581466796827e+02,3.933338870763861461e+00
3.376033658956866264e+08,3.500890091400062687e+00,1.709585037069971918e+02,3.862636495694103722e+00
3.376033660302770138e+08,1.777607499920109246e+00,1.710462618293108505e+02,3.899103746993327846e+00
3.376033664075024724e+08,2.150864020756669159e+00,1.708093829140387356e+02,3.913332862899795206e+00
3.376033664454066753e+08,2.167973151373061125e+00,1.710125464798694566e+02,3.813753719000700038e+00
3.376033665021529794e+08,1.989497043268254606e+00,1.709573230919576474e+02,3.829028384793525586e+00
3.376033666253311038e+08,1.917551107067938521e+00,1.708822403197963524e+02,3.969934895471955993e+00
3.376033666462803483e+08,2.576899507818251944e+00,1.710073622984704969e+02,3.947432671777945323e+00
3.376033667747744918e+08,1.980478696556603690e+00,1.709568875835448978e+02,3.990796925225841285e+00
3.376033667941295505e+08,1.998423388382584820e+00,1.709779753027699201e+02,4.039067640409611748e+00
3.376033668235411048e+08,1.703498548377150534e+00,1.709287019234865568e+02,3.878995793922538571e+00
3.376033668366521001e+08,2.416976447370573933e+00,1.709966914059623946e+02,3.836258794446483211e+00
3.376033670515043139e+08,2.162760340168232265e+00,1.709612870664235231e+02,3.780988506466326005e+00
3.376033670781873465e+08,3.545897446278279830e+01,1.708336674087258302e+02,3.940276479806238186e+00
3.376033671917620897e+08,1.694878597802101927e+00,1.708618311743843776e+02,3.973329830148944808e+00
3.376033673779841065e+08,1.902478173318952637e+00,1.709433057978772865e+02,4.017851557265839091e+00
3.376033675930793285e+08,1.530894908587269754e+02,1.709443200592211838e+02,3.940307195505440063e+00
3.376033676721299887e+08,3.346643363770752000e+00,1.710099730715628823e+02,3.854779295059447719e+00
3.376033677173493505e+08,1.978519545940535140e+00,1.709704582690974348e+02,3.901426018057384759e+00
3.376033677215920091e+08,2.240288671329978776e+00,1.709682119751913660e+02,3.960801867080746774e+00
3.376033677316622734e+08,2.298236927115398842e+00,1.708974796309861119e+02,3.770681341385690555e+00
3.376033677552976608e+08,2.066450934426390162e+00,1.708992388749678071e+02,3.856228258081471516e+00
3.376033677791302800e+08,2.133851662998583976e+00,1.709278744307839872e+02,3.904349578924223962e+00
3.376033677798608541e+08,2.407132225278241222e+00,1.709555801892395266e+02,3.925106896278790725e+00
3.376033678113647699e+08,1.698630043191338812e+00,1.709014114573291465e+02,3.790504475891904423e+00
3.376033678827192783e+08,1.928295866812650861e+00,1.709399804577808766e+02,3.973945816198882319e+00
3.376033678924770355e+08,1.862941951385924888e+00,1.709146930157863551e+02,3.802361448357974183e+00
3.376033679291133285e+08,2.143165911574858029e+00,1.710079832577333434e+02,3.921842072754257558e+00
3.376033679393547177e+08,1.824189925202079454e+00,1.709054518381307446e+02,3.795109891168820138e+00
3.376033679990268946e+08,2.154481022148543534e+00,1.708513807101139435e+02,3.950892694043923292e+00
3.376033680860458016e+08,2.142016638567632469e+00,1.709966783270139388e+02,3.985476610753645232e+00
3.376033681897382140e+08,2.383621820448328599e+00,1.708274716795619668e+02,3.901569470601594869e+00
3.376033681986124516e+08,4.855760811862102955e+00,1.709839938165860929e+02,4.016568303495221315e+00
3.376033684456153512e+08,2.032396592612882635e+00,1.708902628133048438e+02,3.837782342811626446e+00
3.376033686073446274e+08,1.904168619801378304e+00,1.710679503769478345e+02,3.848854133409050693e+00
3.376033686495605707e+08,2.212111675424814017e+00,1.708740936780911852e+02,3.977360748364317189e+00
3.376033687442744374e+08,2.388616903648594914e+00,1.709734009014835294e+02,3.869247097503164312e+00
3.376033688206997514e+08,2.357484313789446340e+00,1.709416387792608703e+02,3.871469444934001469e+00
3.376033688861985803e+08,1.706795528665796091e+00,1.709649407861461725e+02,3.889072283422668086e+00
3.376033689883303642e+08,1.674784460689341614e+00,1.709619028364278961e+02,4.008103848704514860e+00
3.376033693081947565e+08,2.045024852663740234e+00,1.708942880416757362e+02,3.800532222794084092e+00
3.376033697558369637e+08,1.844601560829878917e+00,1.709290727020153895e+02,3.988128831326742230e+00
3.376033698633243442e+08,3.154701923515051742e+00,1.709391954148748880e+02,3.978600671187934257e+00
3.376033701549995542e+08,8.318483858732227532e+01,1.709477035230702029e+02,3.841091176780571548e+00
3.376033701714620590e+08,1.834056579369794271e+00,1.708040813587156492e+02,3.931056857227486212e+00
3.376033703176385760e+08,2.139073587648001595e+00,1.708403924899971287e+02,3.909040956415321677e+00
3.376033703550458550e+08,1.867819209320482843e+00,1.710202249943644404e+02,3.902641294543873318e+00
3.376033704079312682e+08,2.038081032645274071e+00,1.708967582708636996e+02,3.803106602992867291e+00
3.376033705072950125e+08,1.771506604340771451e+00,1.709285690407508582e+02,3.829369050563431021e+00
3.376033706954860687e+08,2.181622268287489952e+00,1.708713686939867102e+02,3.938570627377903310e+00
3.376033708399094939e+08,1.775674671142922323e+00,1.708995779953008309e+02,3.958726944962819516e+00
3.376033712327962518e+08,2.386662191291544666e+00,1.710151750777069992e+02,3.916501172532640851e+00
3.376033713653534055e+08,1.825744806967077194e+00,1.709182698182623596e+02,3.838173249311678692e+00
3.376033713985201716e+08,1.799882964895306747e+00,1.710240723876172240e+02,3.935404053181211559e+00
3.376033714262012243e+08,1.860350398239444925e+00,1.708034984406399701e+02,3.911680388649318996e+00
3.376033714922652841e+08,1.865936356342413172e+00,1.709347712195780389e+02,3.842419620957576498e+00
3.376033722649090886e+08,1.170336855220382972e+02,1.708228897804960411e+02,3.901653213298808431e+00
3.376033723406904936e+08,2.337596942171733971e+00,1.709574529092737691e+02,3.830537142989285382e+00
3.376033723955038786e+08,2.221678328495091836e+00,1.709704464700227220e+02,3.980567502466889618e+00
3.376033724167096615e+08,3.049510838730930207e+00,1.708604140806280896e+02,3.903860182857951333e+00
3.376033724467934966e+08,2.295335987386767140e+00,1.709285999032113637e+02,3.927201958676592497e+00
3.376033725681285262e+08,2.026258236447218586e+00,1.710077022352192557e+02,3.914212725229961887e+00
3.376033728166735172e+08,1.954447494637561178e+00,1.709885519039451935e+02,3.901501070073163380e+00
3.376033729563296437e+08,5.542277561457191837e+01,1.710586411234396849e+02,3.852286711506225370e+00
3.376033731301952004e+08,2.271840037461537953e+00,1.708777886814422402e+02,3.955089088478491721e+00
3.376033732252023816e+08,1.919418579190681484e+00,1.709615979194668682e+02,3.800723335692922422e+00
3.376033733041233420e+08,1.674968555939896797e+00,1.708824896893704590e+02,3.851886331607615066e+00
3.376033735456515551e+08,1.807309972701962808e+00,1.710051927156216038e+02,3.908779042471684839e+00
3.376033736555646062e+08,2.144184646543460637e+00,1.709250985984342890e+02,3.851324687842171635e+00
3.376033737343962193e+08,1.734670799579232758e+00,1.709973175352748456e+02,4.000863650757376710e+00
3.376033737369862199e+08,1.701236674455965936e+00,1.709862646929934726e+02,3.998087867097965820e+00
3.376033741090224981e+08,1.618781486758078536e+00,1.708744394268591975e+02,3.837516641678172302e+00
3.376033741961110234e+08,2.414726124976459776e+00,1.709616544920103536e+02,3.921955441940072618e+00
3.376033741980370879e+08,2.305154330775677440e+00,1.709377578282945080e+02,3.966750940145385762e+00
3.376033742979323268e+08,2.316257280404187213e+00,1.709556095941419755e+02,3.951039574667062571e+00
3.376033743032559156e+08,2.016067628379645260e+00,1.708336604191017045e+02,3.872385772700797091e+00
3.376033743696259260e+08,1.756718185596102488e+00,1.708362662316236253e+02,3.856902470944631567e+00
3.376033745168322325e+08,1.567784717468720430e+02,1.709538458166372266e+02,3.833680934378985050e+00
3.376033745448767543e+08,1.733624367437076819e+00,1.709151262600417738e+02,3.942452569353471770e+00
3.376033747607070804e+08,2.346082356652256617e+00,1.708183307449401696e+02,3.941041755644390410e+00
3.376033747621644735e+08,2.107007716598155334e+00,1.709365868299436784e+02,3.986459085795578616e+00
3.376033751032740474e+08,1.652097392177247048e+00,1.709686408588606525e+02,3.973542029678927445e+00
3.376033751843304038e+08,2.117691592308285742e+00,1.710392838249299245e+02,3.916135864627880547e+00
3.376033752167053223e+08,1.953594113972849433e+00,1.708538047915750440e+02,3.967987809340548289e+00
3.376033754004139304e+08,1.653917244525507257e+00,1.709050892914900430e+02,3.890120758310001925e+00
3.376033755099611282e+08,1.930862567797547280e+00,1.709952100057058146e+02,3.915664884181114580e+00
3.376033757808415294e+08,2.008944043685031655e+00,1.709226936900398073e+02,3.843899182161585770e+00
